time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,place,horizontalError,depthError,magError,magNst,tipo sismicidad
2019-09-26T16:36:18.155Z,-42.085,-72.445,129,6.1,mww,,30,0.445,0.79,us,us70005lt4,"30 km W of Villa La Angostura, Argentina",4.5,1.8,0.058,29,0
2019-09-20T16:33:53.047Z,-42.056,-72.498,41.75,4.1,mwr,,181,0.445,0.84,us,us60005lg4,"65 km W of Vallenar, Chile",6.9,8.7,0.068,21,1
2019-09-19T09:54:16.377Z,-42.053,-72.011,35,4.2,mwr,,179,0.98,1.18,us,us60005kww,"91 km WNW of Copiapó, Chile",7.6,2,0.049,40,1
2019-09-19T01:58:45.571Z,-42.047,-72.325,31.63,4.3,mb,,191,0.052,0.69,us,us60005krh,"46 km WSW of Ovalle, Chile",5.9,7.3,0.307,3,1
2019-09-18T05:36:23.758Z,-42.025,-72.206,72.73,4.2,mb,,134,0.794,1.29,us,us70005hs1,"82 km S of Arica, Chile",4.3,12.9,0.159,11,0
2019-09-16T13:39:43.934Z,-41.97,-72.19,13.15,4.4,mb,,195,0.462,0.49,us,us70005h1f,"91 km W of Ovalle, Chile",4.8,6.6,0.309,4,1
2019-09-15T16:56:35.024Z,-41.957,-72.187,12.36,4.4,mb,,161,0.591,0.35,us,us70005gpy,"66 km WNW of La Ligua, Chile",5.5,6.2,0.241,5,1
2019-09-15T16:44:00.327Z,-41.945,-72.185,22.42,4,mb,,189,0.496,0.4,us,us70005gpv,"54 km WNW of La Ligua, Chile",5.1,11.2,0.519,1,1
2019-09-15T03:25:38.143Z,-41.863,-72.299,144.37,4.4,mb,,136,0.355,0.85,us,us70005gk8,"42 km ESE of Palca, Peru",7.9,5.1,0.179,9,0
2019-09-14T17:40:34.105Z,-41.85,-71.678,45.22,4.3,mb,,180,0.594,0.71,us,us70005ger,"45 km NW of Taltal, Chile",3.5,10.1,0.308,3,1
2019-09-14T06:14:32.422Z,-41.645,-71.904,99.38,4.6,mb,,87,0.144,0.49,us,us70005g9x,"17 km E of Los Andes, Chile",5.5,6.4,0.136,16,0
2019-09-11T14:52:30.286Z,-41.625,-71.037,93.76,4.5,mwr,,140,0.579,1.06,us,us70005esi,"19 km ESE of Calana, Peru",8.7,6.4,0.093,11,0
2019-09-10T18:33:01.789Z,-41.3465,-72.2642,42.52,4,mwr,,100,0.099,0.97,us,us70005eb3,"32 km WSW of Ovalle, Chile",5.2,5.5,0.08,15,1
2019-09-09T11:57:17.219Z,-41.03,-72.139,35,4.4,mb,,158,0.368,0.81,us,us70005dms,"31 km SW of Coquimbo, Chile",4.4,2,0.202,7,1
2019-09-08T20:40:18.015Z,-40.948,-72.308,69.89,4.4,mwr,,109,0.166,0.49,us,us70005dgy,"20 km SE of Iquique, Chile",6.5,4.1,,,0
2019-09-06T13:07:30.684Z,-40.881,-71.5,10,4.4,mwr,,144,0.702,0.8,us,us70005crj,"77 km W of Iquique, Chile",4.6,1.9,0.049,40,1
2019-09-06T08:21:58.011Z,-40.8145,-71.9993,33.7,4.1,mb,,160,0.445,0.58,us,us70005cpc,"42 km NW of Coquimbo, Chile",2.8,7.2,0.197,7,1
2019-09-01T21:32:16.431Z,-40.665,-72.233,35,5.1,mww,,138,0.669,0.89,us,us70005b1n,"78 km W of Arica, Chile",5.5,1.9,0.078,16,1
